,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
53,0.5919,Sat Jun 09 22:12:00 +0000 2018,0.797,0.0,0.203,"TOMORROW: Don't miss a brand new ""Life, Liberty, &amp; Levin"" with @marklevinshow - Tune in at 10p ET on Fox News Chann… https://t.co/JloyPLb79c",54
54,0.0,Sat Jun 09 22:09:43 +0000 2018,1.0,0.0,0.0,"SeaWorld getting rid of plastic straws, plastic bags at all US parks https://t.co/o5sCVFney1",55
55,0.0,Sat Jun 09 22:05:43 +0000 2018,1.0,0.0,0.0,".@RCamposDuffy: ""Republicans and especially Republican women and Republican or conservative minorities have always… https://t.co/D6p9iIR1QB",56
56,0.0,Sat Jun 09 21:59:10 +0000 2018,1.0,0.0,0.0,"Lou Holtz on @Eagles controversy: ""The locker room belongs to the players of the @NFL. They can say anything they w… https://t.co/n3NNBJA2O7",57
57,0.7351,Sat Jun 09 21:48:00 +0000 2018,0.763,0.0,0.237,".@POTUS: ""The power to pardon is a beautiful thing. You got to get it right, you got to get the right people.""… https://t.co/kJoxSdfmxm",58
58,0.0,Sat Jun 09 21:41:00 +0000 2018,1.0,0.0,0.0,OPINION: There's just one way to marry the right person (and anyone can do it) https://t.co/yqcYBoKZ8w,59
59,0.0,Sat Jun 09 21:39:41 +0000 2018,1.0,0.0,0.0,".@Mark_Penn on the Mueller probe: ""I think our Constitution is being stepped on."" https://t.co/WU779vQZHl",60
60,0.128,Sat Jun 09 21:35:06 +0000 2018,0.909,0.0,0.091,"Belmont Stakes' Triple Crown contender, start time, odds and everything else about the horse race https://t.co/6SDuqSRpPJ",61
61,-0.6115,Sat Jun 09 21:32:10 +0000 2018,0.778,0.222,0.0,".@POTUS: ""The U.S. press is very dishonest, much of it, not all of it."" https://t.co/wRY77Xrqxz",62
62,0.0,Sat Jun 09 21:28:31 +0000 2018,1.0,0.0,0.0,U.S. Markets - So far this year. https://t.co/dXBWkXeAc2,63
63,-0.7088,Sat Jun 09 21:17:59 +0000 2018,0.731,0.269,0.0,.@SteveHiltonx: Trump’s criticism of G-7 is ‘unprecedented’ scream the elite -- That’s the whole point of Trump! https://t.co/ZwoJG4yXGb,64
64,0.0,Sat Jun 09 21:11:20 +0000 2018,1.0,0.0,0.0,President @realDonaldTrump is on his way to Singapore for a historic meeting with North Korean leader Kim Jong Un.… https://t.co/f5vz9YYXXE,65
65,-0.4767,Sat Jun 09 21:03:40 +0000 2018,0.744,0.256,0.0,"Florida woman's body found after gator attack, officials say https://t.co/5zyQqG9a32",66
66,0.0772,Sat Jun 09 20:58:00 +0000 2018,0.933,0.0,0.067,".@kayleighmcenany: ""Where are the feminists, also, I want to ask - where are the Elizabeth Warrens, where are the H… https://t.co/6cSwtVG0OG",67
67,0.3818,Sat Jun 09 20:53:00 +0000 2018,0.729,0.0,0.271,"President @realDonaldTrump promises ""America First"" throughout 2016. https://t.co/loUFH6m9i3",68
68,0.0,Sat Jun 09 20:49:26 +0000 2018,1.0,0.0,0.0,German Chancellor Angela Merkel speaks with President @realDonaldTrump during proceedings on the sidelines of the o… https://t.co/3ObHBAyhun,69
69,0.4939,Sat Jun 09 20:47:39 +0000 2018,0.775,0.0,0.225,"Moments ago, President @realDonaldTrump praised the prime minister of Italy, @GiuseppeConteIT. https://t.co/xR842BvOcu",70
70,0.0,Sat Jun 09 20:43:46 +0000 2018,1.0,0.0,0.0,".@conservmillen on G7 summit: ""Our GDP is bigger than all of theirs combined and they do need us more than we need… https://t.co/6zOc7YyliG",71
71,0.891,Sat Jun 09 20:42:54 +0000 2018,0.602,0.0,0.398,".@kayleighmcenany: ""@FLOTUS has the trust and the love of the American people - she has a 57% approval rating. Mean… https://t.co/hoWeWMNEQX",72
72,0.3612,Sat Jun 09 20:35:30 +0000 2018,0.839,0.0,0.161,Trump says US is like a 'piggy bank that everybody is robbing' on trade https://t.co/PK8qw7lxvW,73
