,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
60,-0.0772,Thu May 10 19:24:10 +0000 2018,0.847,0.085,0.069,"2 suitors, 1 Meemaw and 1 Sheldon. You won’t want to miss the season finale of @YoungSheldon tonight at 8:30/7:30c. https://t.co/Hht2yRE7ly",61
61,0.4753,Thu May 10 18:03:26 +0000 2018,0.819,0.0,0.181,Broadway's Biggest Night is around the corner! Who are you hoping to see? #TonyAwards2018 ✨ https://t.co/KLT8QCxWcK,62
62,0.3182,Thu May 10 15:30:40 +0000 2018,0.892,0.0,0.108,"The big day is finally here, and you’re invited. 👰 Make sure to tune in to the @bigbangtheory’s star-studded #ShAmy… https://t.co/la9E6tvQ5b",63
63,0.8176,Wed May 09 21:35:00 +0000 2018,0.667,0.0,0.333,"Before the #ShAmy wedding tomorrow, the @bigbangtheory stars &amp; special guests play a game of ""yay or nay"" with thes… https://t.co/ZpCM16qOyT",64
64,0.8395,Wed May 09 19:36:24 +0000 2018,0.609,0.0,0.391,Get ready for more laughs! Learn more about the two new comedies coming to CBS: https://t.co/cpT3fd2RH5 https://t.co/NGrcp803zW,65
65,-0.4599,Tue May 08 22:26:55 +0000 2018,0.8,0.2,0.0,"Goodbyes are never easy.  After 15 seasons, don’t miss Abby’s final episode of @NCIS_CBS tonight at 8/7c.  https://t.co/GTGj2YRJA1",66
66,0.4574,Tue May 08 19:55:32 +0000 2018,0.85,0.0,0.15,Will you be watching the @BullCBS Season 2 Finale tonight at 9/8c? RT if your answer is yes! https://t.co/OxnyEDVsKj,67
67,0.34,Tue May 08 17:18:20 +0000 2018,0.725,0.092,0.183,RT @thegoodfight: Listening to #QueenBaranski read fan tweets is like poetry. 😍 Warning: this video will give you ALL the feels. ☺️❤️ #TheG…,68
68,0.0,Mon May 07 17:50:20 +0000 2018,1.0,0.0,0.0,"RT @KevinCanWaitCBS: Season 2 of #KevinCanWait comes to a close tonight, and @KevinJames and @LeahRemini have A LOT to say about it. https:…",69
69,0.5093,Fri May 04 21:00:00 +0000 2018,0.87,0.0,0.13,Spend your Friday night with this dynamic duo! Tune in to the season finale of @MacGyverCBS at 8/7c on CBS and CBS… https://t.co/AfWUVo4GSu,70
70,0.6996,Fri May 04 18:42:12 +0000 2018,0.775,0.0,0.225,RT @undercover_cbs: Get ready for the series premiere of #CelebrityBoss in just seven days! How would you react if your favorite celebrity…,71
71,0.5562,Fri May 04 14:48:42 +0000 2018,0.736,0.0,0.264,The force is strong on the set of @bigbangtheory! #MayThe4thBeWithYou https://t.co/uYyXKtuVCM,72
72,0.0,Wed May 02 19:04:01 +0000 2018,1.0,0.0,0.0,RT @thegoodfight: The fight's not over yet. #TheGoodFight is renewed for Season 3. https://t.co/gUrDeA5KQP,73
73,0.0,Tue May 01 23:10:50 +0000 2018,1.0,0.0,0.0,RT @TKOCBS: Both @hwventure and @janemun have been named Executive Producers and showrunners of #TKO: TOTAL KNOCK OUT! Learn more about the…,74
74,0.0,Tue May 01 17:58:51 +0000 2018,1.0,0.0,0.0,"RT @StrangeAngel: Sex. Magick. Rocket Science. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/I3sqWMASxl https://t.co…",75
75,0.8268,Tue May 01 15:16:28 +0000 2018,0.701,0.0,0.299,"Broadway's Biggest Night will honor the best in theatre on Sunday, June 10! Here are the nominees for the… https://t.co/tCiNaLGIvq",76
76,0.8777,Mon Apr 30 22:54:18 +0000 2018,0.627,0.0,0.373,We congratulate all of our CBS #DaytimeEmmy Award winners! Check out the stars who joined @TheTalkCBS hosts to cele… https://t.co/JfUFINmYGH,77
77,0.0,Mon Apr 30 13:28:01 +0000 2018,1.0,0.0,0.0,RT @KevinJames: Getting the band back together @AdamSandler @chrisrock @MikeDelguidice1 @KevinCanWaitCBS #KevinCanWait https://t.co/Mo5EWck…,78
78,0.3818,Mon Apr 30 02:22:08 +0000 2018,0.86,0.0,0.14,See all of the stunning fashion looks from the @CBSDaytime stars on the #DaytimeEmmys red carpet:… https://t.co/iJN1ssGPvZ,79
79,0.8356,Sun Apr 29 15:30:00 +0000 2018,0.67,0.0,0.33,The 45th annual #DaytimeEmmys are here! Congratulations to all of the wonderful @CBSDaytime stars and shows nominat… https://t.co/xZhDSYnxL6,80
80,0.0,Thu Apr 26 23:40:24 +0000 2018,1.0,0.0,0.0,These stars are going undercover for #CelebrityBoss! Find out more about Celebrity @undercover_cbs premiering May 1… https://t.co/Deyn76ADT9,81
81,0.75,Wed Apr 25 21:48:49 +0000 2018,0.687,0.0,0.313,"New courage. New hope. New season. 

Season 3 of @CodeBlackCBS premieres TONIGHT at 10/9c on CBS! https://t.co/rR8xUCKlzI",82
82,0.5719,Wed Apr 25 18:09:50 +0000 2018,0.837,0.0,0.163,Celebrate #DNADay by letting your forensic flag fly and revisit some classic episodes of @CSI_CBS on CBS All Access… https://t.co/YCbHDK2r4b,83
83,0.6239,Wed Apr 25 16:55:33 +0000 2018,0.779,0.0,0.221,"Get ready for big reveals, dramatic conclusions, and huge guest stars! Find out more about the 2017-2018 season fin… https://t.co/xcBChnjEvH",84
84,0.6696,Mon Apr 23 21:03:22 +0000 2018,0.756,0.0,0.244,Who’s ready to see these moves? 🕺 Tune in to the @latelateshow’s Carpool Karaoke Primetime Special TONIGHT at 10/9c! https://t.co/gjrURqXaPN,85
85,0.4019,Sun Apr 22 16:00:03 +0000 2018,0.863,0.0,0.137,"The 53rd #ACMawards turned into one big party when @KeithUrban and @juliamichaels performed their upbeat single ""Co… https://t.co/Q3Zj3EzuNs",86
86,-0.4019,Fri Apr 20 22:00:01 +0000 2018,0.895,0.105,0.0,A blind date was all it took. Learn more about Meghan Markle and her road to royalty from the people who know her b… https://t.co/fEAMUblPQ4,87
87,0.0,Fri Apr 20 17:34:37 +0000 2018,1.0,0.0,0.0,RT @carrieunderwood: ICYMI! Watch Carrie’s performance of #CryPretty from the #ACMawards below! -TeamCU https://t.co/T9I3ko2xFu,88
88,0.0,Thu Apr 19 20:00:00 +0000 2018,1.0,0.0,0.0,There's a new addition to the cast of the upcoming revival of Murphy Brown!  Learn more about Tyne Daly's character… https://t.co/ijSXSLyDaR,89
89,0.4877,Thu Apr 19 19:00:02 +0000 2018,0.826,0.0,0.174,"Country superstar @LukeBryanOnline delivers his moving anthem ""Most People Are Good"" at the 53rd #ACMawards:… https://t.co/GhhAsEDqmq",90
90,0.4939,Thu Apr 19 17:08:44 +0000 2018,0.868,0.0,0.132,"Coming to CBS All Access June 14, #StrangeAngel is inspired by the real life story of Jack Parsons and explores the… https://t.co/IsPrXRNXye",91
91,0.4199,Wed Apr 18 21:00:01 +0000 2018,0.859,0.0,0.141,When you realize there are TWO episodes of @CrimMinds_CBS tonight! 👏 Who’s ready for the double-episode season fina… https://t.co/CWVAHHeIGr,92
92,0.7688,Wed Apr 18 18:57:45 +0000 2018,0.706,0.0,0.294,Giving you even more reasons to celebrate! 🎉 See which CBS series are back for another year: https://t.co/O2LI0eJXTA https://t.co/H436kL1jSK,93
93,0.5994,Wed Apr 18 17:00:03 +0000 2018,0.804,0.0,0.196,"Watch country star @blakeshelton belt out his beautiful ballad ""I Lived It"" at the 53rd #AMCawards:… https://t.co/w0WRmpQ6fk",94
94,0.0903,Wed Apr 18 15:14:39 +0000 2018,0.736,0.125,0.14,RT @joshgroban: I AM SO HAPPY I COULD CRY BUT ITS MIDNIGHT IN JAPAN SO I WILL SLEEP BUT ‼️‼️‼️‼️👫🏆🎭😭🔜 #TonyAwards2018 https://t.co/NLss47K6…,95
95,0.0,Wed Apr 18 15:10:34 +0000 2018,1.0,0.0,0.0,Broadway stars @SaraBareilles and @joshgroban will host @TheTonyAwards on June 10! Hear how these multi-talented ar… https://t.co/jy52FKd7t0,96
96,0.0,Tue Apr 17 00:26:33 +0000 2018,1.0,0.0,0.0,Can you believe it’s been 11 years since @taylorswift13’s first-ever performance at the #ACMawards?! Look back at t… https://t.co/QHSPuJLLFb,97
97,0.0,Mon Apr 16 23:00:02 +0000 2018,1.0,0.0,0.0,Waiting for the @ScorpionCBS season finale to start like… Tune in at 10/9c! https://t.co/peoDXtO707,98
98,0.0,Mon Apr 16 17:00:04 +0000 2018,1.0,0.0,0.0,Cast your vote! #ACMawards https://t.co/57ZN5gr6Y1,99
99,0.2714,Mon Apr 16 16:02:49 +0000 2018,0.806,0.071,0.123,RT @CBSTweet: #CBSRatingsNews: #ACMawards Dominate on #CBS.  Over 12 million Total Viewers.  +11% year to year increase!  Biggest audience…,100
